City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(legacy
definition)2","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Middleburg,1290,1,0,,0,1,0,43,2,40,1,1
"Middlesex Township, Butler County",5448,6,0,,3,0,3,43,10,33,0,1
"Middlesex Township, Cumberland County",7235,9,0,,1,5,3,204,22,169,13,0
Middletown Township,45526,32,0,,0,15,17,1236,129,1057,50,3
Midland,2600,14,0,,1,0,13,68,8,58,2,2
Midway,906,1,0,,0,0,1,9,3,6,0,0
Mifflinburg,3518,1,0,,0,0,1,35,3,32,0,0
Mifflin County Regional,16944,13,0,,1,2,10,260,31,223,6,0
Milford,1002,3,0,,0,0,3,36,8,28,0,0
Millbourne,1163,8,0,,0,5,3,27,1,25,1,0
"Millcreek Township, Lebanon County",5513,2,0,,1,0,1,50,9,41,0,1
Millersburg,2539,3,0,,0,0,3,50,6,44,0,0
Millersville,8327,14,0,,6,4,4,123,29,93,1,0
Millvale,3733,4,0,,1,3,0,88,18,70,0,0
Millville,944,0,0,,0,0,0,7,1,6,0,0
Milton,7024,16,0,,0,2,14,121,19,101,1,4
Minersville,4313,9,0,,0,0,9,42,5,32,5,0
Mohnton,3047,5,0,,2,0,3,34,18,16,0,1
Monaca,5743,10,0,,0,2,8,141,21,110,10,0
Monessen,7596,84,0,,1,14,69,273,63,203,7,0
Monongahela,4254,23,0,,0,5,18,145,32,110,3,0
Monroeville,28401,59,1,,2,15,41,398,52,333,13,1
Montgomery Township,25675,15,0,,0,7,8,389,27,359,3,1
Montoursville,4631,9,0,,1,0,8,143,14,129,0,0
Montour Township,1331,1,0,,0,0,1,15,4,11,0,1
Montrose,1571,7,0,,1,0,6,10,1,9,0,0
Moon Township,24987,14,0,,2,6,6,284,51,229,4,0
Moore Township,9247,4,1,,0,0,3,76,12,60,4,0
Moosic,5741,31,1,,3,1,26,191,29,152,10,0
Morton,2679,13,0,,1,2,10,94,1,92,1,0
Moscow,2022,4,0,,0,0,4,17,3,14,0,0
Mount Carmel,5841,33,0,,1,2,30,126,32,93,1,3
Mount Carmel Township,3124,5,0,,0,0,5,21,3,15,3,0
Mount Gretna Borough,198,0,0,,0,0,0,0,0,0,0,0
Mount Holly Springs,2029,2,0,,0,0,2,45,5,40,0,0
Mount Joy,7984,10,0,,1,0,9,148,23,123,2,0
Mount Lebanon,33093,18,0,,0,5,13,242,46,194,2,1
Mount Pleasant,4446,3,0,,0,1,2,53,8,44,1,0
Mount Pleasant Township,3533,2,0,,0,0,2,30,6,24,0,0
Mount Union,2411,6,0,,0,1,5,31,13,18,0,0
Mountville,2834,3,0,,0,2,1,39,9,30,0,0
Muhlenberg Township,19867,33,0,,1,21,11,666,70,572,24,0
Muncy,2480,1,0,,0,0,1,30,2,26,2,0
Muncy Township,1115,2,0,,0,0,2,82,4,78,0,0
Munhall,11373,31,2,,0,11,18,230,48,160,22,2
Murrysville,20262,6,1,,0,0,5,129,30,95,4,0
Myerstown,3112,12,0,,0,3,9,46,3,36,7,0
Nanticoke,10406,12,0,,0,7,5,290,72,209,9,2
Narberth,4299,2,0,,0,0,2,52,21,31,0,0
Nazareth,5713,17,0,,2,1,14,73,20,53,0,0
Nescopeck,1570,1,0,,0,0,1,25,9,15,1,0
Nesquehoning,3308,11,0,,1,0,10,76,6,70,0,1
Nether Providence Township,13758,11,2,,0,2,7,143,30,108,5,0
Neville Township,1080,7,0,,0,4,3,34,0,33,1,0
Newberry Township,15361,9,0,,2,1,6,270,52,212,6,1
New Bethlehem,2835,2,0,,0,0,2,13,1,12,0,0
New Brighton,9145,41,0,,2,16,23,302,59,242,1,1
New Britain,3147,2,0,,0,0,2,14,3,11,0,0
New Britain Township,11075,5,0,,0,3,2,73,10,61,2,1
New Castle,22729,210,0,,20,56,134,1048,445,570,33,11
New Castle Township,405,1,0,,0,0,1,19,0,19,0,0
New Florence,676,0,0,,0,0,0,4,0,4,0,0
New Garden Township,12109,11,0,,0,5,6,143,26,108,9,1
New Hanover Township,11943,4,0,,0,1,3,81,18,61,2,0
New Holland,5416,2,0,,1,0,1,105,15,89,1,0
New Hope,2522,19,0,,2,0,17,89,13,75,1,0
New Kensington,12916,46,0,,9,18,19,359,51,291,17,2
New Philadelphia,1072,3,0,,0,0,3,5,4,0,1,0
New Sewickley Township,7526,14,0,,0,0,14,124,26,94,4,1
Newton Township,2865,0,0,,0,0,0,8,1,7,0,0
Newtown,2240,2,0,,0,0,2,26,3,23,0,0
"Newtown Township, Bucks County",22596,5,0,,1,3,1,197,37,157,3,0
"Newtown Township, Delaware County",12292,6,0,,0,0,6,125,16,104,5,0
Newville,1326,3,0,,0,0,3,64,10,54,0,0
Norristown,34453,324,3,,15,185,121,1068,274,690,104,7
Northampton,9937,7,0,,3,2,2,158,23,125,10,2
Northampton Township,39772,10,0,,3,2,5,185,39,143,3,1
North Annville Township,2423,0,0,,0,0,0,6,2,4,0,0
North Beaver,4066,0,0,,0,0,0,5,1,3,1,0
North Belle Vernon,1936,12,0,,0,2,10,60,13,45,2,0
North Cornwall Township,7734,9,0,,1,4,4,200,9,187,4,0
North Coventry Township,7942,5,1,,2,0,2,205,24,176,5,0
Northeastern Regional,11477,23,0,,10,1,12,189,30,158,1,0
Northern Berks Regional,12954,4,0,,1,1,2,129,17,104,8,0
Northern Cambria Borough,3741,5,0,,0,1,4,76,15,58,3,0
Northern Lancaster County Regional,33488,43,0,,7,2,34,346,49,286,11,1
Northern Regional,32008,6,1,,2,0,3,268,19,244,5,0
Northern York Regional,67657,73,1,,5,13,54,965,139,802,24,12
North Franklin Township,4590,8,0,,1,6,1,107,18,80,9,1
North Hopewell Township,2799,0,0,,0,0,0,8,2,4,2,0
North Huntingdon Township,30787,26,2,,2,4,18,401,47,341,13,0
North Lebanon Township,11642,22,0,,0,5,17,359,29,326,4,0
North Londonderry Township,8243,3,0,,0,0,3,124,14,110,0,0
North Middleton Township,11314,19,0,,0,0,19,109,17,90,2,1
North Sewickley Township,5629,11,0,,0,3,8,57,8,45,4,1
North Strabane Township,13833,5,0,,1,0,4,153,24,125,4,0
Northumberland,3780,3,0,,2,0,1,64,11,50,3,0
North Union Township,1460,0,0,,0,0,0,0,0,0,0,0
North Versailles Township,12383,34,0,,1,13,20,158,25,131,2,0
North Wales,3239,3,0,,0,1,2,47,6,38,3,1
Northwest Lancaster County Regional,18776,6,0,,2,1,3,165,0,163,2,0
North Woodbury,2717,0,0,,0,0,0,13,1,11,1,0
Norwood,5891,3,0,,0,1,2,146,16,127,3,0
Oakland,600,0,0,,0,0,0,3,0,2,1,0
Oakmont,6406,20,0,,1,2,17,96,17,78,1,0
O'Hara Township,8453,0,0,,0,0,0,72,15,55,2,0
Ohio Township,5917,0,0,,0,0,0,70,0,70,0,0
Oil City,10320,13,0,,3,2,8,160,18,133,9,1
Old Lycoming Township,5049,5,1,,0,2,2,126,25,97,4,0
Oley Township,3673,0,0,,0,0,0,18,6,10,2,0
Olyphant,5199,3,0,,0,1,2,27,6,20,1,1
Orwigsburg,3053,5,0,,0,0,5,34,4,28,2,0
Osceola Township,666,0,0,,0,0,0,1,1,0,0,0
Oxford,5129,12,0,,0,2,10,105,24,73,8,0
Paint Township,5237,22,0,,0,0,22,79,29,47,3,0
Palmerton,5362,5,0,,0,0,5,120,18,98,4,0
Palmyra,7449,8,0,,0,3,5,134,18,113,3,0
Palo Alto,1020,1,0,,0,0,1,9,1,8,0,0
Parkesburg,3638,8,0,,2,2,4,49,6,40,3,0
Parks Township,2707,0,0,,0,0,0,0,0,0,0,0
Patterson Township,2999,4,0,,1,1,2,65,22,40,3,0
Patton Township,15513,6,0,,1,4,1,195,16,178,1,0
Paxtang,1550,5,0,,0,4,1,86,6,78,2,0
Pen Argyl,3570,13,0,,0,0,13,60,18,38,4,0
Penbrook4,2985,6,0,,0,2,4,56,14,36,6,0
Penn,489,0,0,,0,0,0,2,1,1,0,0
Penndel,2232,3,0,,0,1,2,42,8,33,1,0
Penn Hills,42295,155,3,,9,45,98,861,273,542,46,10
Pennridge Regional,11039,4,1,,1,0,2,97,21,76,0,3
"Penn Township, Butler County",5055,2,0,,0,0,2,35,2,31,2,0
"Penn Township, Perry County",3187,2,0,,1,0,1,67,13,53,1,0
"Penn Township, Westmoreland County",19870,15,0,,0,1,14,76,11,61,4,0
"Penn Township, York County",15688,24,0,,0,3,21,264,17,243,4,1
Pequea Township,4626,4,0,,0,0,4,50,10,36,4,0
Perkasie,8527,7,0,,2,1,4,169,22,142,5,2
Perryopolis,1767,3,0,,1,1,1,16,7,9,0,0
Peters Township,21730,9,0,,1,1,7,117,17,97,3,0
Philadelphia,1553153,17074,247,,1279,7562,7986,53452,10408,37253,5791,
Phoenixville,16531,36,0,,1,11,24,284,29,247,8,0
Pine Creek Township,3275,0,0,,0,0,0,11,3,8,0,0
Pine Grove,2160,8,0,,0,0,8,28,5,21,2,0
Pitcairn,3284,35,0,,1,10,24,150,47,101,2,0
Pittsburgh,307632,2259,45,,78,956,1180,10047,2173,7258,616,208
Pittston,7710,8,0,,0,1,7,217,37,178,2,0
Plains Township,9929,9,0,,0,4,5,309,46,255,8,0
Pleasant Hills,8294,1,0,,0,1,0,115,13,97,5,0
"Plymouth Township, Montgomery County",16647,29,0,,3,18,8,649,73,551,25,3
Pocono Mountain Regional,38878,68,4,,13,16,35,977,414,542,21,7
Pocono Township,10951,11,0,,0,1,10,247,47,192,8,0
Point Township,3749,11,0,,0,0,11,46,7,39,0,1
Portage,2573,2,0,,0,1,1,39,4,35,0,0
Portersville,236,0,0,,0,0,0,0,0,0,0,0
Portland,518,0,0,,0,0,0,0,0,0,0,0
Port Vue,3787,5,1,,0,0,4,36,7,29,0,0
Pottstown,22509,170,2,,37,63,68,1220,219,959,42,7
Pottsville,14070,37,1,,3,10,23,291,53,223,15,3
Pringle,976,1,0,,0,1,0,56,3,49,4,0
Prospect,1161,0,0,,0,0,0,0,0,0,0,0
"Pulaski Township, Lawrence County",3370,9,0,,0,0,9,34,8,23,3,0
Punxsutawney,5883,6,0,,3,2,1,111,17,91,3,0
Pymatuning Township,3238,6,0,,1,0,5,119,43,65,11,1
Quakertown,8950,21,0,,1,1,19,253,31,216,6,0
Quarryville,2657,9,0,,1,1,7,66,7,59,0,0
Raccoon Township,3049,2,0,,0,0,2,15,3,12,0,0
Radnor Township,31527,29,0,,1,4,24,331,37,287,7,0
Rankin,2118,22,0,,0,4,18,19,7,11,1,2
Reading,88107,743,11,,50,328,354,2799,1040,1465,294,27
Reading Township,5794,5,0,,0,0,5,23,4,19,0,0
Redstone Township,5516,2,0,,0,0,2,17,6,11,0,0
Reserve Township,3330,2,1,,0,0,1,64,13,47,4,3
Rice Township,3533,1,0,,0,0,1,38,14,23,1,0
"Richland Township, Bucks County",13135,6,0,,3,1,2,339,28,305,6,2
"Richland Township, Cambria County",12581,16,1,,1,9,5,647,27,610,10,0
Ridgway,3987,1,0,,0,0,1,91,12,76,3,1
Ridley Park,7007,13,0,,1,1,11,103,17,79,7,0
Ridley Township,30994,51,0,,3,17,31,556,51,462,43,1
Ringtown,806,0,0,,0,0,0,3,2,1,0,0
Riverside,1933,0,0,,0,0,0,30,3,27,0,0
Roaring Brook Township,1966,0,0,,0,0,0,10,2,7,1,0
Roaring Spring,2574,1,0,,0,0,1,49,4,44,1,0
Robeson Township,7326,6,0,,0,0,6,79,26,49,4,0
"Robinson Township, Allegheny County",13586,26,0,,1,4,21,352,21,325,6,0
"Robinson Township, Washington County",1930,2,0,,0,0,2,20,7,12,1,0
Rochester,3613,69,0,,6,10,53,295,46,231,18,0
Rochester Township,2780,10,0,,0,1,9,42,2,37,3,0
Rockledge,2552,6,0,,0,1,5,44,2,41,1,0
Roseto,1564,2,0,,0,0,2,34,4,28,2,0
Ross Township,31140,39,0,,0,12,27,740,57,675,8,0
Royalton,1068,0,0,,0,0,0,0,0,0,0,0
Royersford,4787,20,0,,2,2,16,70,10,59,1,1
Rural Valley,870,0,0,,0,0,0,0,0,0,0,0
Rush Township,3384,4,0,,3,0,1,125,19,106,0,0
Ryan Township,2528,0,0,,0,0,0,6,2,4,0,0
"Sadsbury Township, Chester County",3762,0,0,,0,0,0,26,5,19,2,0
"Salem Township, Luzerne County",4252,5,0,,0,0,5,54,15,38,1,1
Salisbury Township,13672,8,0,,1,2,5,304,46,248,10,0
Saltsburg,861,0,0,,0,0,0,17,3,14,0,0
Sandy Lake,651,1,0,,0,0,1,2,0,2,0,0
Sandy Township,10633,22,0,,1,6,15,340,36,301,3,0
Sankertown,662,0,0,,0,0,0,0,0,0,0,0
Sayre,6583,9,0,,3,0,6,153,26,125,2,0
"Schuylkill Township, Chester County",8542,4,0,,0,0,4,70,13,57,0,0
Scottdale,4312,27,0,,5,0,22,94,8,84,2,0
"Scott Township, Allegheny County",17015,10,0,,2,5,3,165,16,145,4,1
Scranton,75732,166,2,,18,71,75,2277,549,1614,114,24
Selinsgrove,5560,79,0,,1,4,74,183,45,136,2,1
Seward,486,0,0,,0,0,0,2,1,1,0,0
Sewickley,4363,3,0,,0,1,2,82,6,75,1,0
Sewickley Heights,819,0,0,,0,0,0,4,1,3,0,0
Shade Township,2715,0,0,,0,0,0,32,11,21,0,0
Shaler Township,28781,12,1,,0,5,6,314,66,245,3,0
Shamokin,7303,4,0,,0,1,3,36,9,26,1,2
Sharon Hill,5696,61,0,,2,11,48,197,22,164,11,0
Sharpsburg,3438,15,0,,1,1,13,74,17,55,2,0
Sharpsville,4330,18,0,,0,1,17,63,9,49,5,0
Shenandoah,4976,17,0,,0,6,11,179,39,136,4,3
Shillington,5257,2,0,,0,0,2,65,23,40,2,0
Shinglehouse,1130,1,0,,0,0,1,1,1,0,0,0
Shippensburg4,5496,4,1,,2,1,0,94,6,88,0,3
Shippingport,214,2,0,,0,0,2,0,0,0,0,0
Shohola Township,2413,1,0,,0,0,1,16,8,7,1,0
Silver Lake Township,1689,3,0,,0,0,3,12,7,4,1,0
Silver Spring Township4,14743,3,0,,0,2,1,153,10,143,0,0
Sinking Spring,4005,0,0,,0,0,0,63,15,47,1,0
Slatington,4272,4,0,,0,1,3,109,15,90,4,0
Slippery Rock,3676,7,0,,0,1,6,37,4,33,0,0
Smethport,1631,3,0,,0,0,3,19,7,11,1,0
Smithton Borough,391,0,0,,0,0,0,2,0,2,0,0
Solebury Township,8701,3,0,,1,1,1,82,20,61,1,0
Somerset,6154,7,0,,0,0,7,171,29,139,3,0
Souderton,6647,18,0,,1,4,13,108,23,78,7,1
South Abington Township,9162,10,1,,0,1,8,83,12,68,3,1
South Buffalo Township,2635,1,0,,0,0,1,18,1,15,2,0
South Centre Township,4216,2,0,,0,0,2,6,1,5,0,1
South Coatesville,1409,1,0,,0,0,1,0,0,0,0,0
South Connellsville Borough,1952,3,0,,0,0,3,25,1,24,0,0
"Southern Regional, Lancaster County",3812,5,0,,0,1,4,25,8,17,0,1
"Southern Regional, York County",10658,5,0,,0,1,4,138,27,109,2,1
South Fayette Township,15079,5,0,,1,2,2,80,12,64,4,1
South Greensburg,2087,3,0,,0,1,2,24,4,18,2,0
South Heidelberg Township,7354,6,0,,0,0,6,66,8,56,2,0
South Lebanon Township,9614,7,0,,0,1,6,120,16,104,0,1
South Londonderry Township,7213,2,0,,0,2,0,51,4,47,0,0
South Park Township,13528,8,0,,0,2,6,39,14,23,2,0
South Pymatuning Township,2651,1,0,,1,0,0,26,9,16,1,0
South Strabane Township,9564,22,2,,3,9,8,521,25,489,7,0
Southwestern Regional,17544,12,0,,1,0,11,119,18,99,2,0
Southwest Greensburg,2117,7,0,,0,1,6,26,6,18,2,0
"Southwest Regional, Fayette County",1619,10,0,,0,0,10,40,13,27,0,0
"Southwest Regional, Washington County",9093,0,0,,0,0,0,11,2,9,0,0
South Whitehall Township,19578,13,0,,1,2,10,683,88,582,13,5
South Williamsport,6399,6,0,,1,3,2,117,20,96,1,0
Spring City,3335,6,0,,2,0,4,87,9,77,1,0
Springettsbury Township,26716,30,0,,3,16,11,892,34,846,12,2
"Springfield Township, Delaware County",24267,10,0,,1,4,5,649,43,579,27,0
"Springfield Township, Montgomery County",19500,13,0,,0,1,12,204,43,154,7,0
Spring Garden Township,12944,28,0,,1,11,16,320,62,247,11,1
"Spring Township, Berks County",27450,19,0,,1,5,13,278,25,245,8,3
"Spring Township, Centre County",7664,0,0,,0,0,0,65,7,58,0,0
State College,56612,41,0,,5,13,23,707,101,596,10,11
St. Clair Boro,2952,2,0,,0,0,2,67,2,65,0,0
Steelton,5951,26,0,,2,11,13,199,47,145,7,1
St. Marys City,12874,10,1,,3,0,6,205,31,171,3,2
Stoneboro,1031,1,0,,0,0,1,6,1,5,0,0
Stowe Township,6347,13,0,,0,3,10,217,39,171,7,0
Strasburg,2847,1,0,,0,0,1,33,7,25,1,0
Stroud Area Regional,34404,72,0,,17,17,38,1258,115,1120,23,3
Sugarcreek,5219,4,0,,1,1,2,78,9,69,0,0
"Sugarloaf Township, Luzerne County",4240,1,0,,0,0,1,17,5,12,0,0
Summerhill Township,2421,1,0,,1,0,0,27,5,21,1,0
Summit Hill,3002,2,0,,0,1,1,9,2,7,0,0
Summit Township,2252,0,0,,0,0,0,3,0,3,0,0
Susquehanna,1602,2,0,,0,0,2,13,3,10,0,0
Susquehanna Regional,8049,8,0,,3,0,5,85,23,62,0,1
"Susquehanna Township, Dauphin County",24443,46,1,,4,18,23,369,68,284,17,0
Swatara Township,23857,63,0,,2,27,34,866,96,760,10,8
Swissvale,8962,90,1,,0,17,72,241,50,171,20,2
Swoyersville,5050,7,0,,1,1,5,86,29,56,1,0
Sykesville,1142,0,0,,0,0,0,0,0,0,0,0
Tamaqua,6972,12,0,,1,4,7,237,40,191,6,3
Tarentum,4518,11,0,,1,2,8,97,13,81,3,0
Tatamy,1142,0,0,,0,0,0,7,2,4,1,0
Taylor,6252,15,0,,0,4,11,274,19,246,9,0
Telford,4880,14,0,,6,0,8,37,1,36,0,0
Terre Hill4,1334,0,0,,0,0,0,18,9,9,0,0
Throop,4100,16,0,,0,0,16,40,10,29,1,0
Tiadaghton Valley Regional,6693,10,0,,3,1,6,154,14,138,2,0
Tidioute,675,0,0,,0,0,0,4,0,4,0,0
"Tinicum Township, Bucks County",3982,1,0,,1,0,0,20,5,15,0,0
"Tinicum Township, Delaware County",4096,17,0,,2,5,10,146,8,130,8,1
Titusville,5470,7,0,,0,3,4,137,16,121,0,0
Towamencin Township,18117,14,0,,1,1,12,127,29,94,4,2
Towanda,2900,17,0,,1,0,16,92,9,80,3,0
Tower City,1328,1,0,,0,0,1,1,0,1,0,0
Trafford,3193,6,0,,1,0,5,52,14,32,6,0
Trainer,1846,21,0,,1,3,17,78,17,58,3,1
Tredyffrin Township,29492,16,0,,3,4,9,224,56,164,4,0
Troy,1312,1,0,,0,0,1,22,9,13,0,0
Tulpehocken Township,3275,0,0,,0,0,0,10,3,7,0,0
"Tunkhannock Township, Wyoming County",6297,2,0,,1,1,0,68,7,61,0,0
Turtle Creek,5331,10,0,,0,0,10,9,5,4,0,0
Tyrone,5444,21,0,,3,2,16,144,11,131,2,1
Union City,3274,1,0,,0,0,1,110,8,102,0,0
Uniontown,10190,47,2,,3,23,19,446,113,322,11,0
"Union Township, Lawerence County",5088,7,0,,0,1,6,248,2,244,2,0
Upland,3246,37,0,,3,7,27,117,38,69,10,1
Upper Burrell Township,2302,0,0,,0,0,0,30,10,19,1,0
Upper Chichester Township,16929,38,1,,2,10,25,482,86,373,23,3
Upper Darby Township,82771,450,2,,20,227,201,1852,225,1487,140,10
Upper Dublin Township,26262,14,0,,4,4,6,234,25,198,11,1
Upper Gwynedd Township,15848,11,0,,4,0,7,82,18,61,3,1
Upper Leacock Township,8836,2,1,,0,0,1,134,31,94,9,0
Upper Macungine Township,21972,10,0,,2,3,5,311,40,262,9,1
Upper Makefield Township,8273,3,0,,0,0,3,57,15,42,0,0
Upper Merion Township,28585,21,0,,2,14,5,1157,69,1063,25,1
Upper Moreland Township,24149,19,2,,1,12,4,457,56,392,9,3
Upper Nazareth Township,6388,8,0,,0,0,8,46,5,41,0,0
Upper Perkiomen,6831,15,0,,6,2,7,111,21,82,8,3
Upper Pottsgrove Township,5387,11,0,,0,0,11,59,13,40,6,0
"Upper Providence Township, Delaware County",10310,2,0,,0,0,2,25,10,14,1,0
"Upper Providence Township, Montgomery County",21699,9,0,,0,4,5,289,40,240,9,0
Upper Saucon Township,15606,4,0,,2,0,2,200,28,168,4,0
Upper Southampton Township,15199,8,0,,0,1,7,200,36,160,4,0
Upper St. Clair Township,19319,5,0,,0,0,5,121,10,108,3,0
Upper Uwchlan Township,11494,1,0,,1,0,0,57,10,46,1,0
Upper Yoder Township,5340,5,0,,0,0,5,21,5,16,0,0
Uwchlan Township,18401,14,0,,2,3,9,210,30,175,5,5
Valley Township,7300,3,0,,0,0,3,118,24,81,13,0
Vandergrift,5120,17,0,,1,2,14,11,4,6,1,0
Vandling,747,1,0,,0,0,1,1,0,1,0,0
Vernon Township,5544,4,0,,0,0,4,79,4,75,0,0
Vintondale,402,0,0,,0,0,0,0,0,0,0,0
Walker Township,1040,1,0,,0,0,1,2,0,2,0,0
Walnutport,2064,0,0,,0,0,0,0,0,0,0,0
Wampum,700,0,0,,0,0,0,10,0,10,0,0
Warminster Township,32802,21,1,,4,9,7,555,50,491,14,3
Warren,9477,46,0,,5,2,39,226,22,196,8,2
Warrington Township,23565,18,0,,3,8,7,283,36,237,10,0
"Warwick Township, Bucks County",14625,19,0,,4,3,12,132,20,112,0,1
"Washington, Washington County",13905,67,1,,10,30,26,600,116,455,29,9
"Washington Township, Fayette County",3838,4,0,,0,0,4,55,9,46,0,0
"Washington Township, Franklin County4",14261,3,0,,0,1,2,240,17,219,4,2
"Washington Township, Northampton County",5155,0,0,,0,0,0,64,21,42,1,0
"Washington Township, Westmoreland County",7354,10,0,,0,0,10,39,7,31,1,0
Watsontown,2368,1,0,,1,0,0,37,3,33,1,2
Waynesboro4,10650,24,1,,3,11,9,242,40,199,3,4
"Wayne Township, Lawrence County",2571,0,0,,0,0,0,16,4,11,1,1
Wellsboro,3300,6,0,,0,0,6,31,3,28,0,0
Wesleyville,3296,3,0,,1,0,2,95,10,83,2,1
West Brandywine Township,7446,7,0,,0,2,5,105,25,70,10,0
West Brownsville,992,0,0,,0,0,0,23,0,23,0,0
West Caln Township,9081,13,0,,1,1,11,67,15,47,5,0
West Carroll Township,1272,0,0,,0,0,0,8,4,3,1,0
West Chester,18988,71,1,,14,28,28,416,90,305,21,0
West Cocalico Township,7315,4,0,,2,1,1,55,15,37,3,0
West Conshohocken,1333,2,0,,0,0,2,25,2,23,0,0
West Cornwall Township,1974,1,0,,0,1,0,4,0,4,0,0
West Deer Township,11880,2,0,,2,0,0,117,34,70,13,0
West Earl Township,7981,6,0,,3,1,2,63,21,42,0,0
Western Berks Regional,4561,1,0,,0,0,1,58,13,43,2,0
West Fallowfield Township,2584,0,0,,0,0,0,21,8,13,0,0
West Goshen Township,22970,13,0,,4,0,9,370,24,338,8,0
West Grove Borough,2867,3,0,,0,0,3,12,2,8,2,0
West Hempfield Township,16337,12,0,,2,2,8,269,27,237,5,4
West Hills Regional,10649,5,0,,0,2,3,92,38,52,2,1
West Homestead,1940,12,0,,0,1,11,27,8,19,0,0
West Kittanning,1159,0,0,,0,0,0,1,0,1,0,0
West Lampeter Township,15465,4,0,,0,2,2,159,26,130,3,0
West Lebanon Township,792,2,0,,0,0,2,73,6,66,1,0
West Leechburg,1273,0,0,,0,0,0,9,4,5,0,0
West Mahanoy Township,2837,0,0,,0,0,0,25,2,21,2,1
West Manchester Township,18831,29,0,,2,6,21,525,40,473,12,3
West Manheim Township,7990,10,0,,1,1,8,62,14,48,0,0
West Mead Township,5164,1,0,,0,0,1,9,5,4,0,1
West Mifflin,20276,57,1,,5,19,32,527,87,424,16,1
West Newton,2591,7,0,,1,2,4,65,7,57,1,0
West Norriton Township,15781,43,0,,2,13,28,409,31,369,9,0
West Nottingham Township,2722,1,0,,0,1,0,16,3,12,1,0
West Pikeland Township,4072,2,0,,0,0,2,26,6,19,1,0
West Pittston,4840,5,0,,0,1,4,129,11,116,2,0
West Pottsgrove Township,3890,17,0,,2,10,5,151,11,137,3,0
West Reading,4201,29,0,,5,8,16,182,16,161,5,1
West Sadsbury Township,2472,2,0,,0,0,2,100,2,98,0,0
West Salem Township,3503,22,0,,4,2,16,95,35,56,4,0
Westtown-East Goshen Regional,32201,24,0,,1,2,21,280,25,247,8,2
West View,6755,6,0,,1,0,5,170,11,152,7,0
West Vincent Township,4856,1,0,,0,0,1,44,5,39,0,0
West Whiteland Township,18452,8,0,,1,6,1,490,38,441,11,0
West York,4578,23,2,,2,0,19,206,20,179,7,3
Whitaker Borough,1271,0,0,,0,0,0,20,6,12,2,0
Whitehall,13936,11,0,,0,0,11,50,11,37,2,0
Whitehall Township,27215,30,1,,6,16,7,1370,157,1171,42,3
Whitemarsh Township,17495,12,0,,1,1,10,191,25,159,7,1
White Oak,7857,7,0,,1,4,2,77,16,57,4,0
Whitpain Township,19152,17,0,,0,5,12,266,42,222,2,0
Wiconisco Township,1201,1,0,,0,0,1,5,1,4,0,0
Wilkes-Barre,41166,208,12,,30,110,56,1389,317,969,103,6
Wilkes-Barre Township,2959,21,0,,0,12,9,764,16,738,10,0
Wilkins Township,6359,6,0,,0,2,4,123,18,96,9,1
Williamsburg,1244,0,0,,0,0,0,14,1,13,0,0
Williamsport,29536,110,5,,10,47,48,1158,228,902,28,12
Willistown Township,10600,5,0,,0,2,3,65,10,54,1,1
Wilson,7844,37,0,,4,12,21,343,56,282,5,1
Wind Gap,2724,3,0,,1,0,2,43,4,35,4,0
Womelsdorf,2818,2,0,,0,0,2,41,6,27,8,0
Woodward Township,2403,1,0,,0,0,1,26,11,15,0,1
Wrightsville,2293,2,0,,0,0,2,67,5,62,0,0
Wright Township,5676,1,0,,0,0,1,58,7,47,4,0
Wyoming,3055,3,0,,0,1,2,111,15,93,3,1
Wyomissing,10479,10,0,,0,6,4,484,12,465,7,1
Yardley,2455,5,0,,1,2,2,28,3,24,1,0
Yeadon,11509,78,0,,3,40,35,377,72,273,32,2
York,43841,348,12,,33,174,129,1481,486,905,90,21
York Area Regional,60995,136,0,,8,19,109,711,135,552,24,5
Youngsville,1686,15,0,,0,0,15,12,4,8,0,0
Zelienople,3771,4,0,,0,0,4,56,2,51,3,0
Zerbe Township,1858,0,0,,0,0,0,17,3,14,0,0
